HCPC/MOD,ACTION CD,SHORT DESCRIPTION,LONG DESCRIPTION,
G9489,No Change,Remote e/m est. pt 40mins,"Remote in-home visit for the evaluation and management of an established patient for use only in a medicare-approved coms innovation center demonstration project, which requires at least 2 of the following 3 key components: a comprehensive history; a comprehensive examination; medical decision making of high complexity, furnished in real time using interactive audio and video technology.  counseling and coordination of care with other physicians, other qualified health care professionals or agencies are provided consistent with the nature of the problem(s) and the needs of the patient or the family or both.  usually, the presenting problem(s) are of moderate to high severity.  typically, 40 minutes are spent with the patient or family or both via real time, audio and video intercommunications technology",
G9490,No Change,Cmmi mod home visit,"Cms innovation center models, home visit for patient assessment performed by clinical staff for an individual not considered homebound, including, but not necessarily limited to patient assessment of clinical status, safety/fall prevention, functional status/ambulation, medication reconciliation/management, compliance with orders/plan of care, performance of activities of daily living, and ensuring beneficiary connections to community and other services.  (for use only in medicare-approved cms innovation center models); may not be billed for a 30 day period covered by a transitional care management code",
G9496,No Change,Doc rsn no adeno/neopl detec,"Documentation of reason for not detecting adenoma(s) or other neoplasm. (e.g., neoplasm detected is only diagnosed as traditional serrated adenoma, sessile serrated polyp, or sessile serrated adenoma",
G9497,No Change,Rec inst no smoke day surg,Received instruction from the anesthesiologist or proxy prior to the day of surgery to abstain from smoking on the day of surgery,
G9498,No Change,Abx reg prescribed,Antibiotic regimen prescribed,
G9499,No Change,No start/rec antvir tx hep c,Patient did not start or is not receiving antiviral treatment for hepatitis c during the measurement period,
G9500,No Change,Rad expos ind/exp tm doc,"Radiation exposure indices, or exposure time and number of fluorographic images in final report for procedures using fluoroscopy, documented",
G9501,No Change,Rad expos ind/exp tm no doc,"Radiation exposure indices, or exposure time and number of fluorographic images not documented in final report for procedure using fluoroscopy, reason not given",
G9502,No Change,Med reas no perf foot exam,"Documentation of medical reason for not performing foot exam (i.e., patients who have had either a bilateral amputation above or below the knee, or both a left and right amputation above or below the knee before or during the measurement period)",
G9503,No Change,Pt tk tams hcl,Patient taking tamsulosin hydrochloride,
G9504,No Change,Doc rsn hep b stat not asses,"Documented reason for not assessing hepatitis b virus (hbv) status (e.g., patient not initiating anti-tnf therapy, patient declined) prior to initiating anti-tnf therapy",
G9505,No Change,Abx pres w/in 10 dys of symp,Antibiotic regimen prescribed within 10 days after onset of symptoms for documented medical reason,
G9506,No Change,Bio imm resp mod presc,Biologic immune response modifier prescribed,
G9507,No Change,Doc reas on statin or contra,"Documentation that the patient is on a statin medication or has documentation of a valid contraindication or exception to statin medications; contraindications/exceptions that can be defined by diagnosis codes include pregnancy during the measurement period, active liver disease, rhabdomyolysis, end stage renal disease on dialysis and heart failure; provider documented contraindications/exceptions include breastfeeding during the measurement period, woman of child-bearing age not actively taking birth control, allergy to statin, drug interaction (hiv protease inhibitors, nefazodone, cyclosporine, gemfibrozil, and danazol) and intolerance (with supporting documentation of trying a statin at least once within the last 5 years or diagnosis codes for myostitis or toxic myopathy related to drugs)",
G9508,No Change,Doc pt not on statin,Documentation that the patient is not on a statin medication,
G9509,No Change,Adit mdd dys rem 12 mnths,Adult patients 18 years of age or older with major depression or dysthymia who reached remission at twelve months as demonstrated by a twelve month (+/-60 days) phq-9 or phq-9m score of less than 5,
G9510,Long Description Change,Remis12m not phq-9 score <5,Adult patients 18 years of age or older with major depression or dysthymia who did not reach remission at twelve months as demonstrated by a twelve  month (+/-60 days) phq-9 or phq-9m score of less than 5. either phq- 9 or phq-9m score was not assessed or is greater than or equal to 5,
G9511,No Change,Idx evt dte phq>9 doc 12 mo,Index event date phq-9 or phq-9m score greater than 9 documented during the twelve month denominator identification period,
G9512,No Change,Indiv pdc > 0.8,Individual had a pdc of 0.8 or greater,
G9513,No Change,Indiv pdc not > 0.8,Individual did not have a pdc of 0.8 or greater,
G9514,No Change,Req ret or w/in 90d of surg,Patient required a return to the operating room within 90 days of surgery,
G9515,No Change,"No reas, no ret or w/in 90d",Patient did not require a return to the operating room within 90 days of surgery,
G9516,No Change,Impr vis acuit w/in 90d,"Patient achieved an improvement in visual acuity, from their preoperative level, within 90 days of surgery",
G9517,No Change,No impr vis acuit w/in 90d,"Patient did not achieve an improvement in visual acuity, from their preoperative level, within 90 days of surgery, reason not given",
G9518,No Change,Doc active inj drug use,Documentation of active injection drug use,
G9519,Long Description Change,Final ref +/- 1.0 w/in 90d,Patient achieves final refraction (spherical equivalent) +/- 1.0 diopters of their planned refraction within 90 days of surgery,
